133.17	133.36	be
133.41	133.98	anything
133.98	134.11	and
134.11	134.34	it's
135.48	135.6	it
135.6	136.06	feels
136.06	136.57	great
136.76	136.9	you
136.9	137.41	feel
137.41	138.04	free
